 host           organization                          location
 qcdev          Tandy Electronics, National Parts Di  Fort Worth, Texas
 qcktrn         Quickturn Systems, Inc.               Mountain View, CA
 qdc            Quantum Development Corporation       Delaware
 qdt            Quad Design Technology                Camarillo, CA
 qec            Quicksilver Express Courier           Minneapolis, MN
 qedinc         Queues Enforth Development, Inc.      Cambridge, MA
 qedqcd         Individual                            Rye, New York
 qedsoft        QED Software, Inc.                    Santa Clara, CA
 qetzal         The WhiteStar Corporation             Englewood, CO
 qgraph         Quad Graphics                         Pewaukee, WI
 qiclab         SCN Research/QIC Laboratories of Tig  Tigard Oregon
 qii            Quality Institute International, Inc  St Paul, Minnesota
 qip            Quality International                 Arizona
 qks            Quasar Knowledge Systems, Inc.        Washington, DC
 qmet           Qualimetrics, Incorporated            Sacramento, CA
 qnorth         Quadratron Canada Inc.                Quebec
 qsp            Quality Software Products             Culver City, CA
 qst1           Quality Software Tools                Costa Mesa, CA
 qtbostn        Quickturn Systems Inc.                Northboro, MA
 qtc            Quantitative Technology Corporation   Oregon
 qtdallas       Quickturn Systems Inc.                Plano, Texas
 qtdalls        Quickturn Systems Inc.                Plano, Texas
 qtecmuc        Quantec Tonstudiotechnik GmbH, Dep.   Germany
 qtflrda        Quickturn Systems, Inc.               Maitland, Florida
 qtirvne        Quickturn Systems Inc.                Irvine, California
 qtminn         Quickturn Systems Inc.                Mt View, CA
 qtnj           Quickturn Systems Inc.                East Brunswick, NJ
 qtny           Quantime Systems, Inc.                New York USA
 quack          The Duck Pond (public access unix)    Santa Clara, CA
 quad           Quadric Systems, Burnsville MN        Burnsville, MN
 quad1          Quadratron Systems Inc.               California
 quadron        Quadron Service Corporation           Santa Barbara, CA
 quaestor       Tad C. Glines                         Patrick AFB, FL
 quagga         Rhodes University Computing Centre    South Africa
 quake          Quake Public Access                   Sylmar, California
 quaker         Quaker Oats Co.                       Jackson, Tennessee
 quame          Quality America, Inc.                 Tucson, Arizona
 quando         Quantum Gesellschaft fuer Software    Germany
 quant          Quant Systems                         Charleston, SC
 quanto         Quantum Orlando Corp.                 Orlando, Florida
 quark          The Exploratorium                     San Francisco, CA
 quartet        Quartet Systems, Inc.                 Haydenville, MA
 quartz8        Victorian Software                    Renton, Washington
 quazar         Korrekt, Inc.                         Atlanta, Georgia
 qucis          Queen's University, Computer & Infor  Canada
 que            Que Corporation                       Indianapolis, IN
 quemen         Stupid Puns Inc.                      Illinois
 quequeg        Johns Hopkins University, Chesapeake  Baltimore, MD
 quest          Quest Research Inc.                   Burnsville, MN
 quest1         Quest Consultants Inc.                Norman, Oklahoma
 questar        Questar Data Systems                  Eagan, Minnesota
 questsys       Quest Systems Corporation             Santa Clara, CA
 quincy         American LP Systems, Inc.             Bohemia, New York
 quintro        Quintron Corporation                  Quincy, Illinois
 quintus        Quintus Computer Systems              Mountain View, CA
 quisqueya      EgRoJ Soft!                           Dominican Republic
 qusavx         Quantime Corp.                        Cincinnati, Ohio
 qwpage         Q.W.Page Associates Inc.              Markham, Ontario
 r-node         R-Node Public Access UNIX System      Ontario
 r2             R2 Computer Consultants               Ontario
 rab            Regional Adjustment Bureau, Inc.      Memphis, Tennessee
 rabatt         Computer Guidance & Support           Littleton, CO
 rabbit         Rabbit Software Corporation           Malvern, PA
 rabdbc         Robert Bullington Database Consultan  Malden, MA
 rabrem         Robert Bullington, Database Consulta  Marblehead, MA
 racerx         Bridge Information Systems, Inc.      St Louis, Missouri
 rachael        Electric Sheep Company                Allston, MA
 ractech        RacTech GmbH & Co KG                  Germany
 racy1          Allen Bradley                         Wisconsin
 rad            RAD Technologies Inc.                 Mountain View, CA
 radar          Nashville Macintosh User's Group      US Mail
 radha          Canstar                               Canada
 radian         Radian Corp.                          Austin, Texas
 radig          Peter Radig                           W Germany
 radio          Amateur radio station WA7OEF          San Jose, CA
 radius         Radius Inc.                           San Jose, CA
 radix          Radix MicroSystems, Inc.              Beaverton, Oregon
 radon          EECS Department, University of Calif  Berkeley, CA
 radshack       Darlington Music Co. Inc.             South Carolina
 radzy          The Radzykewycz Clan                  Newark, California
 raffy          Raffy's Unix System                   Beaver Dam, WI
 ragnar         Fantasci Incorporated                 Mt Holly, NJ
 ragno          National Research Council Canada      Canada
 raid5          Array Technology Corporation          Boulder, Colorado
 raider         RaiderNet Public Access               Murfreesboro, TN
 raimsun        Raima Corporation                     Bellevue, WA
 rain           Pacific Systems Group                 Oregon
 rainbow        Individual                            San Francisco, CA
 rainier        Sound Software Development            Carnation, WA
 rainy          University of Washington, Dept. of    Seattle, WA
 rala           Agricutural research institute        Iceland
 ralmar         Ralmar Business Systems               San Jose, CA
 rama           Harris Scientific Calculations Inc.,  New York
 ramjet         Home System                           th Pl Beaverton OR
 ramoth         Encore Computer Corporation           New York
 ramsay         Ramsay Consulting                     Ann Arbor, MI
 ramtek         Ramtek                                San Jose, CA
 ramz           TU Braunschweig, Rechenanlage des Me  W Germany
 ran            Korea Advanced Institute of Science   Republic of Korea
 rana           Buenos Aires Univ.,Facultad Ciencias  Argentina
 randix         Randix Systems                        Nevada City, NV
 randomness     Organized Randomness                  Canton, Michigan
 randvax        The RAND Corporation                  Santa Monica, CA
 ranebow        Rainbow Signs, Inc.                   S Bloomington, MN
 rascal         Rascal Systems Pty (Ltd)              RSA
 rasna          Rasna Corporation                     San Jose, CA
 rasorl         rasorl Unix System                    Orlando, Florida
 rational       Rational Systems Inc.                 Natrick, MA
 rauland        Zenith Electronics                    Melrose Park, IL
 raunvis        Science Institute, University of Ice  Iceland
 raven          eklektix                              Boulder, Colorado
 ravend         NeXT Fanatic                          Lathrop, CA
 ravitech       Ravi Technologies                     Santa Clara, CA
 raxco          Raxco Software, Inc.                  Rockville, MD
 ray            Raymond Schafer Associates            Lorena, Texas
 raybed2        Raytheon Company, Missile Systems Di  Tewksbury, MA
 raycom         Raycom Systems, Inc                   Van Nuys, CA
 rayssd         Raytheon Company                      Portsmouth, RI
 razor          Genasys II, Inc.                      Fort Collins, CO
 rb-dc1         Gould, Computer Systems Division      San Diego, CA
 rbdc           Red Barn Data Center                  Salem, NC
 rbi2           Recognition Equipment Inc.            Dallas, Texas
 rbtmcm         Jet Propulsion Laboratory, Robotics   Pasadena, CA
 rcc1           Realistic Computing Company           Texas
 rcf            not much                              Dublin, California
 rci            Remington Consulting, Inc.            Hillsboro, Oregon
 rcinetu        Rogers Engineering                    Ontario
 rcorsa         RCO Consultants                       Canada
 rcs            RCS Mobile                            Salem, NC
 rcsuna         Computer Systems Department, General  Michigan
 rcsvax         Riverdale Country School              Bronx, New York
 rd-atlas       Honeywell Inc. Residential Division   Golden Valley, MN
 rd1            Racal-Datacom                         Sunrise, Florida
 rd821          The Gleason Works                     Rochester N Y
 rdahp          R & D Associates                      Marina del Rey, CA
 rdb1           Milo's Meadow                         Ormond By The Sea
 rdc            Oki America, Inc.                     Sunnyvale, CA
 rde            Vista-Chrome, Inc.                    Tallahassee, FL
 rdet           Rdet                                  Baton Rouge, LA
 rdgame         R&D Gaming Technology, Inc.           New Orleans, LA
 rdidrdm        Response Dynamics, Inc.               Vienna, Virginia
 rdjlaw         Rosen Dainow & Jacobs                 New York, New York
 rdlabs         R & D Labs International              Euless, Texas
 rdlvax         Research Development Laboratories     Culver City, CA
 rdm            Cromemco, Inc. Atlanta Office         Roswell, Georgia
 rdp            RDP Associates, Inc.                  Glendale, CA
 rdp1           Federal Paper Board                   Riegelwood, NC
 rdpub          R&D Publications                      Lawrence, Kansas
 rds            Rational Data Systems, Inc.           San Rafael, CA
 rdsoftwr       Robert M. Dunaway                     Irving, Texas
 rdt            Renaissance Design Technology, Inc.   Sutton, MA
 rducky         Technical Solutions                   Arroyo Grande, CA
 reach          Coopers and Lybrand                   New York, New York
 reality        Reality Technologies                  Philadelphia, PA
 realnet        Real/Net News Concord                 Danzig Plaza Conco
 reason         Technetics Corporation                Riverdale, NY
 rebel          Forte Technologies - Atlanta          Berkeley Lake, GA
 rebhome        Individual                            Reseda, California
 recycle        Silver State Disposal                 Las Vegas, Nevada
 redats         Reda A Camco Co.                      Bartlesville, OK
 reddog         Happy Man Corp., publishing Solid Va  Vashon Island, WA
 redman         Red Man Pipe and Supply               Tulsa, Oklahoma
 redpoll        Bug & DNA Labs Annex (aka Home)       Munroe Falls, Ohio
 redsox         The Boston Software Works, Inc.       Boston, MA
 redstk         National Software Systems, Inc.       Baton Rouge, LA
 redsun         Research and Evaluation - Portland    Oregon
 redvax         D. Hugh Redelmeier                    CANADA
 redwood        Rob Warnock, Systems Architect        San Mateo, CA
 reed           Reed College                          Portland, Oregon
 reel           Sceptre Corporation                   Ann Arbor, MI
 reese          Robert Reese & Associates, Inc.       Dallas, Texas
 refinery       Stevens Institute of Technology       Hoboken, NJ
 reftek         Individual                            Fairfax, Virginia
 regina         University of Regina, Computing Serv  Regina, SK
 regwel         The Registry, Inc.                    Wellesley, MA
 rehab1         Reading Rehabilitation Hospital       Reading, PA
 rehab2         Reading Rehabilitation Hospital       Reading, PA
 rei1           Recognition Equipment, Incorporated   Texas
 rei2           Recognition Equipment Inc.            Dallas, Texas
 reify          Reify Technologies, Inc.              Aptos, California
 reign          Softa, Washington D.C.                Sol III
 reinsw         REIN Elektronik GmbH                  Germany
 rel            UUCP Mapping Project, Michigan Coord  Farmington, MI
 relay          Hewlett-Packard Company               Palo Alto, CA
 reliable       Motorola, Inc. General Systems Group  Arlington Heights
 reltek         Rel-Tek Systems & Design, Inc.        Chicago, Illinois
 remtech        REMTECH, Inc.                         Huntsville, AL
 remuera        Remuera Corporation                   Canada
 renault        Regie Nationale Renault - Direction   France
 rencon         Tudor Consulting                      Fremont, CA
 renfield       Seattle Silicon Corporation           Bellevue, WA
 renort         International Business Machines - Re  Reno, Nevada
 reo            Colorado Wing, Civil Air Patrol       Colorado
 repo           Unipress Software                     Lincoln Hwy Edison
 research       AT&T Bell Labs                        Murray Hill, NJ
 resonex        Resonex, Inc.                         Sunnyvale, CA
 resource       Resource Systems                      Westerville Ohio
 resrch         Moli Energy Ltd.                      BC Canada
 results        RESULTS Now, Inc.                     Arlington, VA
 retix          Retix, Santa Monica                   Santa Monica, CA
 rewop          Dirt Cheap Computer Stuff Co.         DeLand, Florida
 rex            Tulane University, Dept. of Computer  New Orleans, LA
 rexago8        Summit Information Systems            Akron, Ohio
 rezbook        Rezolution Technical Books            Sacramento, CA
 rezo           REZO Software & Beratung              Germany
 rfmnet         RFM Publications                      Aurora Illinois
 rgbart         Keith - Ohlfs                         San Jose, CA
 rgbsys         RGB Spectrum                          xxx
 rhesus         University of Wisconsin, Wisconsin    Madison, Wisconsin
 rhino          Barco Chromatics                      Tucker, Georgia
 rhlab          Baltimore Rh Typing Laboratory, Inc.  Baltimore, MD
 rhos           Upgrade Consulting                    Somerville, MA
 riacs          Research Institute for Advanced Comp  Moffett Field, CA
 rib            DIT, Inc.                             Los Alamos, NM
 ribs           Alldata Corp                          Elk Grove, CA
 riccb          Rockwell Telecommunications, Inc.     Downers Grove, IL
 rice           Rice University, Houston              Houston, Texas
 rices          Northrop - Electronics Systems Divis  Palatine, Illinois
 richie         Christian Dressel                     Austria
 richp1         Rich Inc.                             Oakbrook, Illinois
 richsun        Rich Inc.                             Oakbrook, Illinois
 richter        Servio Corporation                    Alameda, CA
 ricker         Bill Ricker's house                   Decatur, Georgia
 rinc           Cybersoft                             Conshohocken, PA
 rio            Zetuco Inc.                           Burnsville, MN
 rios           Micronetics Design Corporation        Rockville, MD
 riprap         Applied Systems Consultants           Las Vegas, Nevada
 rips           Raster Image Processing Systems       Boulder, Colorado
 riscy          J. R. Simplot                         Boise, Idaho
 rispa2         National Hospital of Iceland, Comput  Iceland
 rit            Rochester Institute of Technology     Rochester, NY
 ritcsh         Computer Science House @ Rochester    Rochester, NY
 rjmkc          Tecnix, Inc.                          Lee's Summit, MO
 rlgvax         Computer Consoles, Inc., Office Syst  Reston, Virginia
 rlyeh          Reilly Hayes                          Boston, MA
 rm1            Racal-Datacom                         Sunrise, Florida
 rmacc          RMA Communications Center.            Baldwinsville, NY
 rmc            Ryan McFarland Corporation            Texas
 rmcash         Randolph-Macon College                Ashland, Virginia
 rmi            RMI Nachrichtentechnik Aachen         Germany
 rmkhome        The Man With Ten Cats                 Framingham, MA
 rml            Robotic Midwives, Ltd.                Livermore, CA
 rmrtech        RMR Technologies, Inc.                Germantown, MD
 rmy            Emory University                      Atlanta, Georgia
 rna            Rockefeller University, Department    New York, New York
 rob            Merck & Co., Inc.                     Rahway, New Jersey
 robecbo        Robec Distributors Inc., D.C. Office  Hopkinton, MA
 robecdc        Robec Distributors                    Manassas, Virginia
 robechq        Robec, Inc.                           Horsham, PA
 roberta        Jolly Roger Bar and Grill             Santa Cruz, CA
 robes          Perseus (Pty) Ltd                     South Africa
 roboco         RoboCo                                Canada
 robohack       Elegant Communications Inc. & UniFor  Canada
 roche1         Roche Manufacturing Inc.              Wrightsville Georg
 rochester      University of Rochester, Dept. of Co  Rochester, NY
 rocket         Sanders, A Lockheed Company           Nashua, NH
 rocket5        AXIS Computer Systems, Inc.           Marlboro, MA
 rockridge      Individual                            Oakland, CA
 rocksanne      Xerox/Webster                         Webster N Y
 rocky          Instructional Computing Center, SUNY  Oswego, New York
 rockymt        Communications Dept., City of Aurora  Aurora, Colorado
 rodin          Paterson Board of Education           Paterson N J
 rodin33        Kulicke & Soffa Industries, Inc.      Willow Grove, PA
 roesch         Unternehmensberatung Roesch GmbH      Germany
 rolloutq       Brier Patch Associates                Charlotte, NC
 rolo           Caraquin                              San Diego, CA
 rom            Royal Ontario Museum, West Asian Dep  Canada
 romed          MicroAge Technical Marketing          Tempe, Arizona
 romp           IBM Advanced Workstations Division    Austin, Texas
 ronin          Ronin House, Publishing               Peterborough, NH
 roo            Palo Alto Research Center, Xerox Cor  Palo Alto, CA
 roogna         Castle Roogna Associates              Sharon, MA
 roper          The Roper Organization                Mamaroneck, NY
 rory           Very little                           Oceanside CA USA
 roscom         Roscom                                Framingham, MA
 rose           Rose Media Incorporated               Canada
 rosedale       Rosedale Audio Productions & The Spu  Rosedale Gig Harbo
 rosevax        Rosemount Inc.                        Eden Prairie, MN
 rosie          Rose's Equipment & Supply, Inc.       Portland, Oregon
 ross           ROSS Technology, Inc.                 Austin, Texas
 rossix         Anterior Technology for Ross Systems  Menlo Park, CA
 rotag          Home system - mail, and a newsfeed    Ann Arbor, MI
 rothko         Peter Norton Computing Inc.           Santa Monica, CA
 rouge          University of Southwestern Louisiana  Lafayette, LA
 rover          DPI Workplace                         N Richland Hills T
 rowdy          Rowdy Systems                         Fort Worth, Texas
 rowell         John Rowell & Associates              Chicago, Illinois
 royal          Royal Computer Systems Limited        CANADA
 royaljok       The Joker's Wild                      Indianapolis, IN
 royko          Chicago Software Works                Cary, Illinois
 roytoy         Larry Roy's home toy                  Rochester, MI
 rpe1           Richard Ellis                         Glendale, New York
 rphroy         Physics Department, General Motors    Michigan
 rpicsb8        RPI Computer Science Department       Troy, New York
 rpmc           Resources Property Management Corp.   New York, New York
 rpp386         D/B/A River Parishes Programming      Dallas, Texas
 rpslmc         Rush Presbyterian-St. Lukes Medical   Chicago, Illinois
 rri            Recognition Research Inc.             Blacksburg, VA
 rrsun          Harris Corporation, Lanier Business   Atlanta, Georgia
 rs386          CCL Development Corporation           Chatsworth, CA
 rse-a          R.S.E. and Associates Software        Tualatin, Oregon
 rse-b          R.S.E. and Associates Software        Tualatin, Oregon
 rse-c          R.S.E. and Associates Software        Tualatin, Oregon
 rsf            Radio Shack Franchise Division        Ft Worth, Texas
 rsi            Robust Software, Inc.                 Ann Arbor, MI
 rsl            EG&G Energy Measurements              Las Vegas, Nevada
 rsoft          Reiter Software Inc.                  Surrey B C
 rsp            RSP Datensysteme GmbH                 Germany
 rsquare        Rsquared Consultants, Inc.            Easton, PA
 rsxtech        R S X Technical Services              Washington, DC
 rt1            N4, Los Alamos National Laboratory    Los Alamos, NM
 rtech          Relational Technology, Inc.           Alameda, CA
 rti            Research Triangle Institute           Research Triangle
 rtjpc          Tom Jacob                             Dallas, Texas
 rtmvax         RTmVax Semi-Public Unix System        Orlando, Florida
 rtmx           RTMX UniFLEX                          Chapel Hill, NC
 rts2           Real Time Solutions                   Berkeley, CA
 rtweyco        Weyerhaeuser Columbus Pulp & Paper    MS USA
 rubbs          CM Computing                          Jersey City, NJ
 rubix          L/F Technologies Carson City, Nevada  Carson City Nevada
 rubmez         Ruhruniversitaet Bochum, Mikroelektr  W Germany
 rug            Rijksuniversiteit Gent                Belgium
 rush           Rush                                  Santa Rosa, CA
 rushpc         My place on the Front Range.          Westminster, CO
 ruso           Dr. Ruff Software GmbH                Germany
 rutgers        Rutgers - The State University of Ne  Piscataway, NJ
 ruuatw         Rijksuniversiteit Utrecht, Algemene   Netherlands
 ruuinf         Rijksuniversiteit Utrecht, Vakgroep   Netherlands
 rwbix          Commsoft Consulting, Inc.             Neptune, NJ
 rwing          Highly Unlikely                       Seattle, WA
 rwj            The Robert Wood Johnson Foundation    Princeton, NJ
 rwmke          River West                            Wisconsin
 rwsys          R/W Systems - Fine purveyors of cust  Richland Hills, TX
 rwtcpa         Thomas & Boone CPA INC                Tulsa, Oklahoma
 rwthdfv        RWTH Aachen, Lehrstuhl Datenfernvera  W Germany
 rwthi1         RWTH Aachen, Lehrstuhl fuer Informat  W Germany
 rwthinf        RWTH Aachen, Rechnerbetrieb Informat  W Germany
 ryefac         Ryerson School of Computer Science    Canada
 ryelect        Department of Electrical Engineering  Canada
 ryenat         Ryerson School of Computer Science    Canada
 ryescs         School of Computer Science, Ryerson   Canada
 ryesone        School of Computer Science, Ryerson   Canada
 ryn            Digital Equipment Corporation, Engin  Marlboro, MA
 ryptyde        Ryptyde TimeSharing/SWATSCOLPAC       Coronado, CA
 s1             Arizona Public Service Co.            Phoenix, Arizona
 s1000h         SCI Technology, Inc.                  Huntsville, AL
 s3carmel       S-Cubed                               San Diego, CA
 s3ridge        S-Cubed                               San Diego, CA
 s3sun          S-Cubed                               San Diego, CA
 s4mjs          Home machine                          Plainfield, NJ
 s5             Morgan Stanley & Co., Inc.            NY, New York
 s5000          UNISYS - Open Software Products       St Paul, Minnesota
 s8000          Dynatech Communications               Woodbridge, VA
 s850           Mary Washington College               Fredericksburg, VA
 s912           Naval Sea Support Center, Pacific     San Diego, CA
 saber          Saber Software, Inc. / Centerline So  Cambridge, MA
 sabin          Sabin Metal Corporation               Scottsville, NY
 sabus          The Sabus Group                       Ankorage, Alaska
 sacfed         CACI Inc. - Federal                   Fairfax, Virginia
 sactech1       National University, Sacramento Camp  Sacramento, CA
 sacto1         Motorola, Inc., Computer Group, Comm  Sacramento, CA
 sactoh0        Sacramento Public Access UNIX         Sacramento, CA
 saddle         Saddlebrook Corp.                     Cambridge, MA
 sae            Software AE                           Arlington, VA
 saedi          Ideas In Print                        Sunnyvale, CA
 safari         Safari Time Labs                      Oregon
 safco0         SAFCo Corporation                     Chicago, Illinois
 safe0          School Board of Broward County, Flor  Ft Lauderdale, FL
 safn2          Southern Aluminum Finishing Co        Atlanta, Georgia
 safp01         Superintendencia de Administradoras   CHILE
 safs6          Southern Aluminum Finishing Co, Peri  Sanford, NC
 saga           Saga Laboratories                     Canada
 sagaut         Siemens AG Messgeraetewerk Berlin     Germany
 sagdae         Software AG                           Germany
 sage           R.B. Fickling                         California
 sagepub        Sage Publications, Inc.               Newbury Park, CA
 sagpd1         Scientific Atlanta, Government Produ  San Diego, CA
 saguaro        Individual                            Laguna Niguel, CA
 sai            Schmidt Associates, Inc.              Rancho Cordova, CA
 saic2          Science Applications International    Marietta, Georgia
 saic3          Science Applications International    Newport, RI
 saicar         Stoner Associates, Inc.               Carlisle, PA
 saicsag        Science Applications International    Mail Stop
 saiindy        Software Artistry                     Indianapolis, IN
 sailor         "The Sailors Inn" mail server         Germany
 saiy01         Parish of Maris Stella                Avalon, New Jersey
 saiy02         Church of St. Bernadette              Northfield, NJ
 sajon          St. John's Hospital MIS               Tulsa, Oklahoma
 sakita         Sakita Corporation                    Menlo Park, CA
 sal            TurboCit Salamandria at Richardson,   Richardson, Texas
 salomon        Salomon Brothers, Inc.                New York, New York
 sam            DAVID Systems, Inc.                   Sunnyvale, CA
 samantha       JBC Associates                        Palatine, Illinois
 samira         The Klingon Empire                    Davis, California
 samna          Samna Corporation                     Atlanta, Georgia
 samsung        Samsung Software America, Inc.        Andover, MA
 sandbox        The Sandbox                           Kennewick, WA
 sanders        Timothy Sanders                       Pasadena, CA
 sandia         Sandia National Laboratories, Divisi  Albuquerque, NM
 sandoz         Sandoz Pharmaceuticals Corp.          East Hanover, NJ
 sandr          S&R Software, Inc.                    Richomond, VA
 sands          Smith and Shows                       Menlo Park, CA
 sanfran        Austin Knight                         Shoreline Hwy Saus
 sanj           San Joaquin Valley Drainage Program,  Sacramento, CA
 sanjose        Honeywell, Inc.                       San Jose, CA
 santa-fe       Alpha Institute                       Aurora, Colorado
 santiago       University of Pittsburgh, Hispanic    Pittsburgh, PA
 santini        Cross Family and Friends              MPLS, Minnesota
 santix         Santix Software GmbH                  Germany
 saofta         Sociedad Argentina de Oftalmologia    Rep Argentina
 sarah          State Univ. of NY at Albany           Albany, New York
 sarastro       Molecular Dynamics                    Ypsilanti, MI
 sareng         SAR Engineering, Inc.                 Quincy, MA
 sarge          Verdix Corporation, Corporate Headqu  Chantilly, VA
 sarin          Object Oriented Systems, Inc.         Owings Mills, MD
 sarstar        SMD Services                          Woodridge, IL
 sarsun         Array Systems Computing, Inc.         Canada
 sarto          Joseph Buehler                        Budd Lake, NJ
 sarvax         COMP3 Inc. (mail service)             Hilliard Ohio
 sas            SAS Institute Inc.                    Cary, NC
 sasl           Systems & Software, Ltd.              Arlington, VA
 sassy          C & C's                               Suffolk, Virginia
 sat            SAT Corporation                       Sunnyvale, CA
 satbbb         The Better Business Bureau            Texas
 satchmo        Cincinatti Bell Information Systems   Maitland, Florida
 satco          Saturday Company                      Waterbury, Vermont
 satcom         Satcom                                San Antonio, Texas
 satord         The Salvation Army Territorial Headq  Ontario Canada
 saturn         Electonic Telecommunication Research  Korea
 savant         Savant Systems                        Charlottesville VA
 savax          Lockheed Sanders, Inc.                Nashua, NH
 sawadee        GemWorld CompuSystems                 Santa Clara, CA
 sawmill        Grauel Enterprises                    Lafayette, Indiana
 sawtek         Sawtek, Inc.                          Apopka, Florida
 saxony         Reuter:file Inc                       Palo Alto, CA
 saylor         Saylors Software First                Eden Prairie, MN
 sbanet         Santa Barbara Area Network (SBANET)   Carpinteria, CA
 sbcs           State University of New York at Ston  Stony Brook, NY
 sbi            The Fulcrum Group                     NY, New York
 sbmsg1         Southern Bell --- MSG                 Atlanta, Georgia
 sbmsg2         Southern Bell --- MSG                 Atlanta, Georgia
 sbmsg3         Southern Bell --- MSG                 Atlanta, Georgia
 sbmsg4         Southern Bell --- MSG                 Atlanta, Georgia
 sbo            Motorola Computer Systems Division,   Tempe, Arizona
 sbs386         S.B. Stone & Company                  CLeveland, Ohio
 sbsvax         Universitaet des Saarlandes, FB Info  Germany
 sbuf01         St. Barnabas Church                   Depew, New York
 sbuf02         St. Mary of the Assumption            Lancaster, NY
 sbuf03         Nativity of Our Lord                  Orchard Park, NY
 sbuf04         St. Amelia Parish                     Tonawanda, NY
 sbuf05         Our Lady Help of Christians           Cheektowaga, NY
 sc50           Unisys Canada Customer Support Cente  Canada
 scampi         Systems Control                       Palo Alto, CA
 scbhq          South Central Bell                    Birmingham, AL
 scc            The Santa Cruz Connection             Tucson, Arizona
 scdxenix       Stearns Catalytic Div. of United Eng  Philadelphia, PA
 sceard         Sceard Systems, Inc.                  Vista, California
 scenic         ScenicSoft, Inc.                      Edmonds, WA
 scg            Malco Partners                        Boulder, Colorado
 scgmbh         Mentor Graphics GmbH                  Germany
 scgsuna        Univ. of Calif, San Diego, Scripps    La Jolla, CA
 sch            Software Clearing House               Cincinnati, Ohio
 scharat        Carl Schasiepen GmbH, Abt. Softweree  Germany
 schifman       Home of Esteban Schifman              Canada
 schitzo        The Home for Wayward Computer Equipm  Aloha, Oregon
 schlich        Computersysteme Schlichting GmbH &    Germany
 schoenfinkel   School of Computer Science at the Un  Ontario
 schulze        Schulze Manufacturing                 Burlingame, CA
 schunix        Public Access Unix for Worcester Cou  Worcester, MA
 schwambach     Edison State College, Piqua Ohio      Ohio
 sci            Silicon Compiler Systems Corporation  San Jose, CA
 sci34hub       SCI Systems, Inc.                     Huntsville, AL
 sci386         Strategic Concepts, Inc.              Arkansas
 scicom         Alpha Communications Development Cor  Colo
 sciex          Sciex, Division of MDS Health Group   Canada
 scisoft        Scientific Software Intercomp         Houston, Texas
 scitex         Scitex America Corporation            Bedford, MA
 sciviz         Scientific Visualization Associates,  Concord, MA
 sclcig         Southam Communications Limited (CNS)  Ontario
 sco            The Santa Cruz Operation, Inc.        Santa Cruz, CA
 scocan         SCO Canada, Inc.                      Canada
 scomg          SCO Automation                        Germany
 scooter        Integrated Consulting                 Pleasanton, CA
 scr1           CONCURRENT COMPUTER CORPORATION, Oce  Oceanport, NJ
 scraps         Technology Atlanta Corporation        Marietta, Georgia
 screamer       University of South Florida, Dept.    Florida
 scripps        Research Institute of Scripps Clinic  La Jolla, CA
 scrn01         Morningside Lutheran Church           Sioux City, Iowa
 scrnplay       Michael A. Baron                      Woodland Hills, CA
 scs-sd         Scientific Computer Systems           San Diego, CA
 scsboca        Siemens Stromberg Carlson             Boca Raton, FL
 scscom         SCS/Compute, Inc.                     Norcross, Georgia
 scsgate        SCS/Compute, Inc.                     St Louis, Missouri
 scspca         Santa Cruz SPCA                       California
 scsshh         SCS Systemtechnik GmbH                W Germany
 scubed         S-Cubed                               San Diego, CA
 scusa          Sherpa Corporation                    San Jose, CA
 sda            SDA Systems, San Jose                 San Jose, CA
 sda386         Software Develpoment Association      USA
 sdal01         St Mark the Evangelist                Plano, Texas
 sdamos         Univ. of California, San Diego, Phon  La Jolla, CA
 sdc            Systems Development Corporation       Chicago, Illinois
 sdcc6          University of California, San Diego   La Jolla, CA
 sdcdev         Solution Systems, Inc.                Wellesley Hills MA
 sdchem         Univ. of California, San Diego, Dept  La Jolla, CA
 sdcjove        Unisys Corp., R&D Distributed Archit  Camarillo, CA
 sdcrsi         Cray Research Superservers Inc., San  San Diego, CA
 sdcsvax        University of California at San Dieg  La Jolla, CA
 sddint         Software Design and Development, Inc  Rock Hill, SC
 sddone         SD&D Inc.                             Lake Mary, Florida
 sdencore       Encore Computer Corporation           San Diego, CA
 sdet01         First Presbyterian                    Ann Arbor, MI
 sdet02         Presbytery of Detroit                 Detroit, Michigan
 sdf            sdf Public Access UNIX, Dallas        Lewisville, Texas
 sdgsun         SDG Division of SAIC Comsystems       Winter Park, FL
 sdiego         Harris Computer Systems               San Diego, CA
 sdld01         St Peter Church                       DeLand, Florida
 sdld02         Our Lady of Lourdes RC Church         Daytona Beach, FL
 sdp            Intel Corporation, OMSO Software Eng  Hillsboro, Oregon
 sdrc           Structural Dynamics Research Corpora  Milford, Ohio
 sdrca7         Structural Dynamics Research Corpora  Milford, Ohio
 sdscal         Stream Data                           Canada
 sdsi           Software Development Systems, Inc.    Downers Grove, IL
 sdsioa         Univ. of Calif, San Diego, Scripps    La Jolla, CA
 sdsu           San Diego State University            S D, California
 sdti           Software Development Technologies,    Sudbury, MA
 sea071         Don Hall                              Arlington, VA
 seac           SEAC Software Engineering, Inc.       Canada
 seacbc         SEAC Software Engineering, Inc.       Canada
 seaeye         Custom IDEAS                          Jenison, Michigan
 seahcx         Harris Computer Systems, Bellevue,    Bellevue, WA
 seamkt         Motorola, Inc., Computer Group, Comm  Bellevue, WA
 sean           Individual                            Oklahoma City, OK
 seasco         Computerland                          Renton, Washington
